"timestamp","atm_strike","atm_option_type","atm_current_oi","atm_lookback_oi","atm_oi_change_abs","atm_oi_change_pct","atm_oi_vs_ema","otm_option_type","otm_current_oi","otm_lookback_oi","otm_oi_change_abs","otm_oi_change_pct","otm_oi_vs_ema","squeeze_metric","minute_high","day_low","day_low_time","atm_close","spot_price","sentiment_signal","created_at"
"2026-02-13 12:03:00+05:30",25500,"CE","9395035","9899110","-504075","-5.09","BELOW","PE","15412540","15109705","302835","2.00","ABOVE","19.70","150.70","131.00","2026-02-13 11:41:00+05:30","149.55","25567.85","5.2165","2026-02-13 12:04:25.05725+05:30"
"2026-02-13 12:04:00+05:30",25500,"CE","9395035","9661470","-266435","-2.76","BELOW","PE","15412540","15136485","276055","1.82","ABOVE","18.75","149.75","131.00","2026-02-13 11:41:00+05:30","146.60","25565.25","7.5902","2026-02-13 12:05:31.26095+05:30"
"2026-02-13 12:05:00+05:30",25500,"CE","9004710","9661470","-656760","-6.80","BELOW","PE","15548195","15136485","411710","2.72","ABOVE","17.30","148.30","131.00","2026-02-13 11:41:00+05:30","147.60","25562.65","8.7201","2026-02-13 12:06:27.172265+05:30"
"2026-02-13 12:06:00+05:30",25500,"CE","9004710","9661470","-656760","-6.80","BELOW","PE","15548195","15136485","411710","2.72","ABOVE","23.00","154.00","131.00","2026-02-13 11:41:00+05:30","153.10","25563.20","8.1355","2026-02-13 12:07:33.308574+05:30"
"2026-02-13 12:07:00+05:30",25350,"CE","231920","239135","-7215","-3.02","BELOW","PE","3445520","3338140","107380","3.22","ABOVE","31.75","269.90","238.15","2026-02-13 11:41:00+05:30","264.00","25572.55","6.9314","2026-02-13 12:08:39.246023+05:30"
"2026-02-13 12:08:00+05:30",25350,"CE","231920","239135","-7215","-3.02","BELOW","PE","3445520","3338140","107380","3.22","ABOVE","28.65","266.80","238.15","2026-02-13 11:41:00+05:30","264.00","25568.15","8.5624","2026-02-13 12:09:38.297278+05:30"
"2026-02-13 12:08:00+05:30",25450,"CE","1183325","1248975","-65650","-5.26","BELOW","PE","4812535","4701840","110695","2.35","ABOVE","23.65","186.70","163.05","2026-02-13 11:41:00+05:30","184.80","25568.15","8.5624","2026-02-13 12:09:38.297278+05:30"
"2026-02-13 12:08:00+05:30",25500,"CE","8829470","9395035","-565565","-6.02","BELOW","PE","15870075","15412540","457535","2.97","ABOVE","20.60","151.60","131.00","2026-02-13 11:41:00+05:30","150.05","25568.15","8.5624","2026-02-13 12:09:38.297278+05:30"
"2026-02-13 12:09:00+05:30",25450,"CE","1183325","1248975","-65650","-5.26","BELOW","PE","4812535","4701840","110695","2.35","ABOVE","26.85","189.90","163.05","2026-02-13 11:41:00+05:30","184.30","25568.60","5.9803","2026-02-13 12:10:46.407649+05:30"
"2026-02-13 12:09:00+05:30",25500,"CE","8829470","9395035","-565565","-6.02","BELOW","PE","15870075","15412540","457535","2.97","ABOVE","23.30","154.30","131.00","2026-02-13 11:41:00+05:30","149.00","25568.60","5.9803","2026-02-13 12:10:46.407649+05:30"
"2026-02-13 12:10:00+05:30",25500,"CE","8829470","9004710","-175240","-1.95","BELOW","PE","15870075","15548195","321880","2.07","ABOVE","19.00","150.00","131.00","2026-02-13 11:41:00+05:30","149.05","25568.80","4.6267","2026-02-13 12:11:42.457265+05:30"
"2026-02-13 12:11:00+05:30",25500,"CE","8710520","9004710","-294190","-3.27","BELOW","PE","15987985","15548195","439790","2.83","ABOVE","23.30","154.30","131.00","2026-02-13 11:41:00+05:30","151.90","25566.25","5.5662","2026-02-13 12:12:48.616358+05:30"
"2026-02-13 12:12:00+05:30",25500,"CE","8710520","9004710","-294190","-3.27","BELOW","PE","15987985","15548195","439790","2.83","ABOVE","23.05","154.05","131.00","2026-02-13 11:41:00+05:30","149.75","25569.40","4.3708","2026-02-13 12:13:45.689541+05:30"
"2026-02-13 12:16:00+05:30",25250,"CE","95160","96915","-1755","-1.81","BELOW","PE","2455505","2349360","106145","4.52","ABOVE","28.60","353.40","324.80","2026-02-13 11:41:00+05:30","351.95","25568.75","3.0370","2026-02-13 12:17:25.196852+05:30"
